config_id,axis,label,N,J,K,A,D_min,D_max,regime,group,phase,seed,operation,n_reps,reduced_repetitions,censored,budget_limited,wall_median_s,wall_iqr_s,wall_p90_s,wall_ci_lo_s,wall_ci_hi_s,wall_ci_rel_half_width,cpu_median_s,cpu_iqr_s,cpu_p90_s,peak_rss_bytes,legal_blocks_total,legal_blocks_times_skills,trace_occurrences,forward_states,forward_total_reductions,role_relation_density,role_mean_predecessors,loadavg_before_1m,loadavg_after_1m,speed_probe_median_s,speed_normalised_wall_median_s
A_full/N16_J128_K10_A20_D12_full_s20260822,A_full,A_full_20,16,128,10,20,3,12,full,primitives,main,20260822,forward_batched,15,0,0,0,0.030108792,0.001925146,0.032554125,0.028448125,0.030328799,0.031231,0.029196000,0.001597000,0.031024600,238080000,19440,194400,2048,20480,397600,0.247368,4.7000,11.28,10.93,nan,
A_full/N16_J128_K10_A30_D12_full_s20260822,A_full,A_full_30,16,128,10,30,3,12,full,build,main,20260822,emission_build,15,0,0,0,3.054214709,0.018811084,3.082975700,3.045881833,3.064598667,0.003064,3.005515000,0.022889000,3.028393000,242827264,19440,194400,2048,20480,397600,0.250575,7.2667,9.56,10.09,nan,
A_full/N16_J128_K10_A30_D12_full_s20260822,A_full,A_full_30,16,128,10,30,3,12,full,build,main,20260822,emission_cache_hit,15,0,0,0,0.000856917,0.000031271,0.000928183,0.000844000,0.000873667,0.017310,0.000856000,0.000031500,0.000927600,242827264,19440,194400,2048,20480,397600,0.250575,7.2667,9.56,10.09,nan,
A_full/N16_J128_K10_A30_D12_full_s20260822,A_full,A_full_30,16,128,10,30,3,12,full,cond,main,20260822,cond_plain,15,0,0,0,0.125325334,0.005910042,0.131675142,0.121605166,0.127992417,0.025483,0.123449000,0.007146500,0.126401400,374419456,19440,194400,2048,20480,397600,0.250575,7.2667,9.74,9.48,nan,
A_full/N16_J128_K10_A30_D12_full_s20260822,A_full,A_full_30,16,128,10,30,3,12,full,cond,main,20260822,cond_structural,15,0,0,0,3.180828917,0.046197104,3.207926616,3.160690083,3.202323958,0.006545,3.123874000,0.034180500,3.150817400,374419456,19440,194400,2048,20480,397600,0.250575,7.2667,9.74,9.48,nan,
A_full/N16_J128_K10_A30_D12_full_s20260822,A_full,A_full_30,16,128,10,30,3,12,full,marg,main,20260822,marg_plain,15,0,0,0,0.123032625,0.008952604,0.130199284,0.119566792,0.127981792,0.034198,0.121357000,0.008159000,0.126446000,387125248,19440,194400,2048,20480,397600,0.250575,7.2667,9.48,9.56,nan,
A_full/N16_J128_K10_A30_D12_full_s20260822,A_full,A_full_30,16,128,10,30,3,12,full,marg,main,20260822,marg_structural,15,0,0,0,3.365878417,0.036009583,3.392372550,3.347357792,3.377540791,0.004484,3.305463000,0.029988500,3.334277800,387125248,19440,194400,2048,20480,397600,0.250575,7.2667,9.48,9.56,nan,
A_full/N16_J128_K10_A30_D12_full_s20260822,A_full,A_full_30,16,128,10,30,3,12,full,primitives,main,20260822,backward_sample,15,0,0,0,0.045467333,0.002278646,0.046718700,0.044146208,0.046515208,0.026052,0.044274000,0.001661000,0.045722400,251449344,19440,194400,2048,20480,397600,0.250575,7.2667,9.67,9.72,nan,
A_full/N16_J128_K10_A30_D12_full_s20260822,A_full,A_full_30,16,128,10,30,3,12,full,primitives,main,20260822,ffbs_complete,15,0,0,0,0.074827750,0.004662708,0.081162058,0.072659041,0.075622958,0.019805,0.073557000,0.003470500,0.076557000,251449344,19440,194400,2048,20480,397600,0.250575,7.2667,9.67,9.72,nan,
A_full/N16_J128_K10_A30_D12_full_s20260822,A_full,A_full_30,16,128,10,30,3,12,full,primitives,main,20260822,forward_batched,21,0,0,0,0.029740875,0.003766417,0.033577292,0.027608875,0.030361833,0.046282,0.028486000,0.002966000,0.031598000,251449344,19440,194400,2048,20480,397600,0.250575,7.2667,9.67,9.72,nan,
