label,group,phase,status,reason,seconds,attempts,predicted_rss_bytes,partial_result_preserved
target_long_J500,build,quiet,skipped_memory,predicted RSS 7.79 GiB exceeds the frozen cap 6.00 GiB; predicted RSS 7.79 GiB exceeds 80% of the 7.40 GiB currently reclaimable,1.16,1,8366350720,0
target_long_J500,primitives,quiet,skipped_memory,predicted RSS 7.79 GiB exceeds the frozen cap 6.00 GiB; predicted RSS 7.79 GiB exceeds 80% of the 7.35 GiB currently reclaimable,1.06,1,8366350720,0
