config_id,axis,label,N,J,K,A,D_min,D_max,regime,group,phase,seed,peak_rss_bytes,peak_rss_mib,dense_block_table_bytes,dense_copies_live_in_this_group,batched_stack_bytes_worst_class,alpha_chart_bytes,batched_alpha_r_bytes,fast_cumulative_bytes,predicted_arrays_total_bytes,predicted_process_rss_bytes,projected_banded_bytes_NOT_IMPLEMENTED,projected_banded_saving_ratio_NOT_IMPLEMENTED,swap_used_mb
A_sparse/N16_J128_K10_A10_D12_sparse_s20260822,A_sparse,A_sparse_10,16,128,10,10,3,12,sparse,marg,main,20260822,330874880,315.55,21135360,2,21135360,165120,330240,1935360,65836800,296523520,1612800,13.104761904761904,1555.38
A_sparse/N16_J128_K10_A10_D12_sparse_s20260822,A_sparse,A_sparse_10,16,128,10,10,3,12,sparse,primitives,main,20260822,215482368,205.5,21135360,1,21135360,165120,330240,1935360,44701440,275388160,1612800,13.104761904761904,1555.38
A_sparse/N16_J128_K10_A20_D12_sparse_s20260822,A_sparse,A_sparse_20,16,128,10,20,3,12,sparse,build,main,20260822,229470208,218.84,21135360,1,21135360,165120,330240,1935360,44701440,275388160,1612800,13.104761904761904,1539.38
A_sparse/N16_J128_K10_A20_D12_sparse_s20260822,A_sparse,A_sparse_20,16,128,10,20,3,12,sparse,cond,main,20260822,367964160,350.92,21135360,2,21135360,165120,330240,1935360,65836800,296523520,1612800,13.104761904761904,1539.38
A_sparse/N16_J128_K10_A20_D12_sparse_s20260822,A_sparse,A_sparse_20,16,128,10,20,3,12,sparse,marg,main,20260822,370028544,352.89,21135360,2,21135360,165120,330240,1935360,65836800,296523520,1612800,13.104761904761904,1539.38
A_sparse/N16_J128_K10_A20_D12_sparse_s20260822,A_sparse,A_sparse_20,16,128,10,20,3,12,sparse,primitives,main,20260822,232292352,221.53,21135360,1,21135360,165120,330240,1935360,44701440,275388160,1612800,13.104761904761904,1539.38
A_sparse/N16_J128_K10_A30_D12_sparse_s20260822,A_sparse,A_sparse_30,16,128,10,30,3,12,sparse,build,main,20260822,245854208,234.46,21135360,1,21135360,165120,330240,1935360,44701440,275388160,1612800,13.104761904761904,1531.38
A_sparse/N16_J128_K10_A30_D12_sparse_s20260822,A_sparse,A_sparse_30,16,128,10,30,3,12,sparse,cond,main,20260822,382767104,365.04,21135360,2,21135360,165120,330240,1935360,65836800,296523520,1612800,13.104761904761904,1531.38
A_sparse/N16_J128_K10_A30_D12_sparse_s20260822,A_sparse,A_sparse_30,16,128,10,30,3,12,sparse,marg,main,20260822,392957952,374.75,21135360,2,21135360,165120,330240,1935360,65836800,296523520,1612800,13.104761904761904,1531.38
A_sparse/N16_J128_K10_A30_D12_sparse_s20260822,A_sparse,A_sparse_30,16,128,10,30,3,12,sparse,primitives,main,20260822,256552960,244.67,21135360,1,21135360,165120,330240,1935360,44701440,275388160,1612800,13.104761904761904,1531.38
A_sparse/N16_J128_K10_A50_D12_sparse_s20260822,A_sparse,A_sparse_50,16,128,10,50,3,12,sparse,build,main,20260822,201703424,192.36,21135360,1,21135360,165120,330240,1935360,44701440,275388160,1612800,13.104761904761904,1531.38
A_sparse/N16_J128_K10_A50_D12_sparse_s20260822,A_sparse,A_sparse_50,16,128,10,50,3,12,sparse,cond,main,20260822,326811648,311.67,21135360,2,21135360,165120,330240,1935360,65836800,296523520,1612800,13.104761904761904,1531.38
A_sparse/N16_J128_K10_A50_D12_sparse_s20260822,A_sparse,A_sparse_50,16,128,10,50,3,12,sparse,marg,main,20260822,334057472,318.58,21135360,2,21135360,165120,330240,1935360,65836800,296523520,1612800,13.104761904761904,1531.38
A_sparse/N16_J128_K10_A50_D12_sparse_s20260822,A_sparse,A_sparse_50,16,128,10,50,3,12,sparse,primitives,main,20260822,220426240,210.21,21135360,1,21135360,165120,330240,1935360,44701440,275388160,1612800,13.104761904761904,1531.38
A_sparse/N16_J128_K10_A5_D12_sparse_s20260822,A_sparse,A_sparse_5,16,128,10,5,3,12,sparse,build,main,20260822,154120192,146.98,21135360,1,21135360,165120,330240,1935360,44701440,275388160,1612800,13.104761904761904,1563.38
A_sparse/N16_J128_K10_A5_D12_sparse_s20260822,A_sparse,A_sparse_5,16,128,10,5,3,12,sparse,cond,main,20260822,365391872,348.46,21135360,2,21135360,165120,330240,1935360,65836800,296523520,1612800,13.104761904761904,1563.38
A_sparse/N16_J128_K10_A5_D12_sparse_s20260822,A_sparse,A_sparse_5,16,128,10,5,3,12,sparse,marg,main,20260822,341192704,325.39,21135360,2,21135360,165120,330240,1935360,65836800,296523520,1612800,13.104761904761904,1563.38
A_sparse/N16_J128_K10_A5_D12_sparse_s20260822,A_sparse,A_sparse_5,16,128,10,5,3,12,sparse,primitives,main,20260822,171864064,163.9,21135360,1,21135360,165120,330240,1935360,44701440,275388160,1612800,13.104761904761904,1563.38
D/N16_J192_K10_A20_D12_full_s20260822,D,D_12,16,192,10,20,3,12,full,build,main,20260822,295100416,281.43,47431680,1,47431680,247040,494080,2918400,98522880,329209600,2432000,19.50315789473684,1555.38
D/N16_J192_K10_A20_D12_full_s20260822,D,D_12,16,192,10,20,3,12,full,cond,main,20260822,542031872,516.92,47431680,2,47431680,247040,494080,2918400,145954560,376641280,2432000,19.50315789473684,1563.38
D/N16_J192_K10_A20_D12_full_s20260822,D,D_12,16,192,10,20,3,12,full,marg,main,20260822,597491712,569.81,47431680,2,47431680,247040,494080,2918400,145954560,376641280,2432000,19.50315789473684,1555.38
D/N16_J192_K10_A20_D12_full_s20260822,D,D_12,16,192,10,20,3,12,full,primitives,main,20260822,328888320,313.65,47431680,1,47431680,247040,494080,2918400,98522880,329209600,2432000,19.50315789473684,1555.38
D/N16_J192_K10_A20_D24_full_s20260822,D,D_24,16,192,10,20,3,24,full,build,main,20260822,330776576,315.45,47431680,1,47431680,247040,494080,5836800,101441280,332128000,5350400,8.865071770334929,1539.38
D/N16_J192_K10_A20_D24_full_s20260822,D,D_24,16,192,10,20,3,24,full,cond,main,20260822,675012608,643.74,47431680,2,47431680,247040,494080,5836800,148872960,379559680,5350400,8.865071770334929,1539.38
D/N16_J192_K10_A20_D24_full_s20260822,D,D_24,16,192,10,20,3,24,full,marg,main,20260822,666193920,635.33,47431680,2,47431680,247040,494080,5836800,148872960,379559680,5350400,8.865071770334929,1539.38
D/N16_J192_K10_A20_D24_full_s20260822,D,D_24,16,192,10,20,3,24,full,primitives,main,20260822,363315200,346.48,47431680,1,47431680,247040,494080,5836800,101441280,332128000,5350400,8.865071770334929,1539.38
D/N16_J192_K10_A20_D48_full_s20260822,D,D_48,16,192,10,20,3,48,full,build,main,20260822,369692672,352.57,47431680,1,47431680,247040,494080,11673600,107278080,337964800,11187200,4.239816933638444,1539.38
D/N16_J192_K10_A20_D48_full_s20260822,D,D_48,16,192,10,20,3,48,full,cond,main,20260822,793489408,756.73,47431680,2,47431680,247040,494080,11673600,154709760,385396480,11187200,4.239816933638444,1539.38
D/N16_J192_K10_A20_D48_full_s20260822,D,D_48,16,192,10,20,3,48,full,marg,main,20260822,851419136,811.98,47431680,2,47431680,247040,494080,11673600,154709760,385396480,11187200,4.239816933638444,1531.38
D/N16_J192_K10_A20_D48_full_s20260822,D,D_48,16,192,10,20,3,48,full,primitives,main,20260822,402636800,383.98,47431680,1,47431680,247040,494080,11673600,107278080,337964800,11187200,4.239816933638444,1539.38
D/N16_J192_K10_A20_D6_full_s20260822,D,D_6,16,192,10,20,3,6,full,build,main,20260822,235446272,224.54,47431680,1,47431680,247040,494080,1459200,97063680,327750400,972800,48.757894736842104,1563.38
D/N16_J192_K10_A20_D6_full_s20260822,D,D_6,16,192,10,20,3,6,full,cond,main,20260822,471674880,449.82,47431680,2,47431680,247040,494080,1459200,144495360,375182080,972800,48.757894736842104,1563.38
D/N16_J192_K10_A20_D6_full_s20260822,D,D_6,16,192,10,20,3,6,full,marg,main,20260822,472039424,450.17,47431680,2,47431680,247040,494080,1459200,144495360,375182080,972800,48.757894736842104,1563.38
D/N16_J192_K10_A20_D6_full_s20260822,D,D_6,16,192,10,20,3,6,full,primitives,main,20260822,251060224,239.43,47431680,1,47431680,247040,494080,1459200,97063680,327750400,972800,48.757894736842104,1563.38
D/N16_J192_K10_A20_D96_full_s20260822,D,D_96,16,192,10,20,3,96,full,build,main,20260822,402935808,384.27,47431680,1,47431680,247040,494080,23347200,118951680,349638400,22860800,2.0748040313549834,1531.38
D/N16_J192_K10_A20_D96_full_s20260822,D,D_96,16,192,10,20,3,96,full,cond,main,20260822,1152884736,1099.48,47431680,2,47431680,247040,494080,23347200,166383360,397070080,22860800,2.0748040313549834,1531.38
D/N16_J192_K10_A20_D96_full_s20260822,D,D_96,16,192,10,20,3,96,full,marg,main,20260822,1241485312,1183.97,47431680,2,47431680,247040,494080,23347200,166383360,397070080,22860800,2.0748040313549834,1531.38
D/N16_J192_K10_A20_D96_full_s20260822,D,D_96,16,192,10,20,3,96,full,primitives,main,20260822,442499072,422.0,47431680,1,47431680,247040,494080,23347200,118951680,349638400,22860800,2.0748040313549834,1531.38
