config_id,axis,label,N,J,K,A,D_min,D_max,regime,group,phase,seed,operation,rep_index,wall_seconds,cpu_seconds
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,24,0.000280667,0.000281000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,25,0.000269500,0.000270000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,26,0.000266375,0.000267000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,27,0.000269000,0.000269000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,28,0.000194959,0.000195000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,29,0.000254083,0.000227000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,30,0.000177083,0.000178000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,31,0.000174750,0.000175000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,32,0.000176666,0.000177000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,33,0.000345042,0.000344000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,34,0.000319250,0.000311000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,35,0.000276000,0.000275000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,36,0.000269708,0.000270000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,37,0.000402541,0.000340000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,38,0.000199417,0.000199000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,39,0.000185250,0.000186000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,40,0.000183292,0.000184000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,41,0.000177250,0.000177000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,42,0.000333375,0.000332000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,43,0.000186750,0.000187000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,44,0.000178167,0.000177000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,45,0.000176833,0.000176000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,46,0.000412458,0.000357000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,47,0.000287625,0.000287000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,48,0.000298959,0.000299000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,build,main,20260822,emission_cache_hit,49,0.000229917,0.000229000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_plain,0,0.083198375,0.080799000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_plain,1,0.095176000,0.089536000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_plain,2,0.101437083,0.089627000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_plain,3,0.095424667,0.091716000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_plain,4,0.085003125,0.082881000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_plain,5,0.087957958,0.086459000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_plain,6,0.120222083,0.094352000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_plain,7,0.094382375,0.090023000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_plain,8,0.077707625,0.077484000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_plain,9,0.100704458,0.090948000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_plain,10,0.083650083,0.082589000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_plain,11,0.086179209,0.085342000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_plain,12,0.084824417,0.084039000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_plain,13,0.079789584,0.079162000
